syscall,usage
futex,1034187
write,254042
prctl,208666
epoll_wait,183581
read,139997
gettid,12933
sched_yield,1189
getpid,1179
madvise,353
close,312
openat,295
rt_sigreturn,295
fstat,275
sysinfo,203
stat,119
epoll_ctl,85
setsockopt,68
restart_syscall,51
getsockopt,51
getsockname,34
accept4,23
msync,21
fadvise64,21
fsync,20
writev,17
mmap,9
rt_sigprocmask,4
lseek,2
sched_getaffinity,2
clone,1
set_robust_list,1
mprotect,1
malloc_mmap,1
exit,1
ftruncate,1
munmap,1
