syscall,usage
pread64,177668
pwrite64,163702
sync_file_range,115152
lseek,92952
futex,77946
recvfrom,59228
sendto,41202
fdatasync,37558
fadvise64,29806
epoll_wait,29430
brk,7025
read,3623
openat,2771
kill,1269
close,963
select,783
rt_sigaction,538
rt_sigreturn,381
rt_sigprocmask,341
getpid,320
setitimer,235
fstat,200
fsync,126
epoll_ctl,122
malloc_mmap,107
getrandom,94
wait4,92
mmap,85
unlink,81
stat,77
munmap,77
write,57
epoll_create1,54
clone,47
set_robust_list,47
signalfd4,47
setsid,47
prctl,47
access,47
exit_group,46
getrusage,32
lstat,26
getdents64,16
setsockopt,14
fcntl,14
mprotect,8
accept,7
getsockname,7
rename,2
