syscall,usage
pread64,237461
pwrite64,168818
sync_file_range,110117
fadvise64,94937
futex,72610
lseek,70248
recvfrom,51530
sendto,38626
fdatasync,35288
epoll_wait,22619
read,3101
openat,2723
select,2527
brk,1909
kill,1143
close,893
rt_sigaction,450
rt_sigreturn,329
rt_sigprocmask,285
getpid,269
setitimer,212
fstat,166
epoll_ctl,106
malloc_mmap,99
fsync,93
getrandom,78
mmap,76
munmap,76
wait4,76
write,47
epoll_create1,46
getrusage,41
clone,39
set_robust_list,39
signalfd4,39
setsid,39
prctl,39
access,39
unlink,39
exit_group,38
stat,27
setsockopt,14
fcntl,14
getdents64,12
lstat,11
link,11
mprotect,8
accept,7
getsockname,7
rename,2
ftruncate,1
