syscall,usage
sched_yield,94021
pwrite64,50180
read,35346
pread64,28593
fsync,26572
write,24035
io_submit,23446
clock_nanosleep,5309
fdatasync,5058
ppoll,3097
epoll_wait,768
getrusage,762
sched_getaffinity,762
close,237
getcwd,237
lstat,229
stat,227
openat,227
fcntl,219
lseek,90
getpid,64
mprotect,60
poll,27
recvfrom,21
restart_syscall,17
fallocate,13
setsockopt,12
ioctl,12
rename,8
fstat,6
socket,6
connect,6
sendto,6
sendmmsg,6
shutdown,4
munmap,4
accept,3
gettid,3
prctl,3
getpeername,3
mmap,3
mbind,3
rt_sigtimedwait,1
malloc_mmap,1
clone,1
set_robust_list,1
