syscall,usage
sched_yield,88982
pwrite64,38448
read,25414
pread64,22303
write,17547
fsync,16884
io_submit,14321
clock_nanosleep,5605
fdatasync,3676
ppoll,1869
epoll_wait,654
getrusage,647
sched_getaffinity,647
mprotect,476
close,124
openat,113
getcwd,112
stat,108
lstat,107
fcntl,103
getpid,80
poll,27
recvfrom,22
lseek,18
restart_syscall,17
setsockopt,12
mmap,12
ioctl,12
fstat,11
socket,8
connect,8
sendto,6
sendmmsg,6
rename,5
malloc_mmap,4
munmap,4
accept,3
clone,3
set_robust_list,3
gettid,3
prctl,3
getpeername,3
mbind,3
shutdown,3
rt_sigtimedwait,1
uname,1
fallocate,1
