syscall,usage
pread64,4742854
futex,1655
pwrite64,1515
fcntl,1483
stat,686
mprotect,458
fsync,444
fstat,343
openat,222
close,222
getpid,111
geteuid,111
unlink,111
munmap,4
set_robust_list,3
madvise,3
exit,3
malloc_mmap,2
mmap,2
clone,1
write,1
