syscall,usage
futex,2574697
write,739758
prctl,620877
epoll_wait,517784
read,401751
gettid,14808
getpid,1384
madvise,580
sysinfo,268
close,234
openat,219
rt_sigreturn,186
sched_yield,179
fstat,167
stat,140
epoll_ctl,85
setsockopt,68
fsync,52
getsockopt,51
restart_syscall,50
getsockname,34
lstat,32
mmap,30
accept4,28
access,26
msync,24
fadvise64,24
rt_sigprocmask,20
writev,17
sched_getaffinity,10
fdatasync,8
clone,5
set_robust_list,5
mprotect,5
malloc_mmap,5
exit,5
fcntl,4
getdents64,4
lseek,4
ftruncate,4
munmap,4
readlink,2
dup,2
unlink,2
