syscall,usage
pread64,18970541
pwrite64,9213
fcntl,6781
futex,5080
stat,3052
fsync,2708
fstat,1526
openat,1354
close,1354
getpid,677
geteuid,677
unlink,677
mprotect,444
mmap,9
set_robust_list,6
madvise,6
exit,6
clone,5
munmap,5
write,4
malloc_mmap,1
