syscall,usage
pread64,19164164
pwrite64,9237
fcntl,9214
futex,5054
stat,4264
fsync,2744
fstat,2132
openat,1372
close,1372
getpid,686
geteuid,686
unlink,686
mprotect,465
mmap,11
set_robust_list,6
munmap,6
madvise,6
exit,6
clone,5
write,5
