syscall,usage
pwrite64,150430
sync_file_range,119846
pread64,101670
futex,51392
lseek,42116
recvfrom,30079
fadvise64,29724
sendto,20495
epoll_wait,18804
fdatasync,18716
read,2779
openat,1751
select,901
kill,756
brk,631
close,585
rt_sigaction,330
rt_sigreturn,250
rt_sigprocmask,216
getpid,191
setitimer,128
fstat,126
malloc_mmap,77
fsync,77
wait4,66
getrandom,60
epoll_ctl,60
munmap,59
unlink,59
stat,52
mmap,40
write,38
exit_group,32
clone,30
set_robust_list,30
signalfd4,30
epoll_create1,30
setsid,30
prctl,30
access,30
getrusage,29
lstat,19
getdents64,12
rename,2
