syscall,usage
pwrite64,69933
pread64,61568
sync_file_range,48197
futex,24711
recvfrom,21921
epoll_wait,18299
sendto,14770
fdatasync,14238
lseek,13065
read,3363
fadvise64,2260
openat,1718
brk,1561
close,857
kill,676
rt_sigaction,606
rt_sigreturn,428
rt_sigprocmask,384
getpid,355
setitimer,234
fstat,230
fsync,162
epoll_ctl,124
select,119
malloc_mmap,119
getrandom,108
wait4,106
write,69
mmap,66
munmap,66
epoll_create1,58
unlink,55
clone,54
set_robust_list,54
signalfd4,54
setsid,54
prctl,54
access,54
exit_group,53
stat,30
getdents64,24
getrusage,21
lstat,13
link,13
setsockopt,8
fcntl,8
accept,4
getsockname,4
mprotect,4
rename,3
