syscall,usage
read,1515801
write,1482128
epoll_wait,29858
close,3555
setsockopt,3500
getpid,2805
openat,2785
epoll_ctl,1450
fcntl,1410
accept,714
madvise,158
fstat,35
lseek,25
pipe,5
clone,5
set_robust_list,5
fsync,5
rename,5
exit_group,5
wait4,5
futex,4
