syscall,usage
pwrite64,114655
sync_file_range,9391
epoll_wait,6291
futex,2499
openat,865
close,846
fsync,540
fdatasync,283
unlink,202
rt_sigprocmask,96
read,96
rt_sigreturn,85
kill,83
stat,69
lstat,66
link,66
getpid,58
select,55
wait4,46
clone,25
lseek,22
getdents64,20
write,13
fstat,10
setsockopt,8
accept,4
getsockname,4
rename,3
brk,2
malloc_mmap,1
munmap,1
