syscall,usage
pwrite64,125447
sync_file_range,122786
futex,39258
epoll_wait,8137
lseek,305
openat,243
close,225
rt_sigreturn,206
recvfrom,201
kill,178
read,165
rt_sigprocmask,148
fsync,111
getpid,87
select,84
wait4,74
setitimer,67
sendto,67
unlink,48
clone,37
stat,31
getdents64,16
fdatasync,15
lstat,14
write,10
fstat,8
setsockopt,6
accept,3
getsockname,3
rename,2
mmap,1
munmap,1
brk,1
