syscall,usage
pwrite64,56127
sync_file_range,51680
epoll_wait,9703
futex,6151
fdatasync,836
read,390
openat,178
rt_sigprocmask,172
rt_sigreturn,163
close,145
kill,143
getpid,100
select,89
wait4,86
fsync,62
lseek,44
clone,43
unlink,24
getdents64,12
stat,10
write,8
lstat,7
setsockopt,6
fstat,6
accept,3
getsockname,3
brk,2
rename,2
mmap,1
munmap,1
